,loss,accuracy,recall,precision,AUROC,AUPRC,f1_score,balanced_accuracy,specificity,miss_rate,fall_out,mcc,true_positives_over_total,false_positives_over_total,true_negatives_over_total,false_negatives_over_total,negative_predictive_value,false_discovery_rate,false_omission_rate,prevalence_threshold,threat_score,fowlkes_mallows_index,informedness,markedness,positive_likelyhood_ratio,negative_likelyhood_ratio,DOR,run_type,model_name,task,holdout_number
1,0.3444763123989105,0.8222455978393555,0.431550532579422,0.5877046585083008,0.8682910799980164,0.5519696474075317,0.4976658523082733,0.6769726872444153,0.9223948121070862,0.5684494376182556,0.07760518044233322,0.3996613621711731,0.08805125951766968,0.06177103519439697,0.7341943383216858,0.11598338186740875,0.8635774850845337,0.4122953414916992,0.1364225149154663,0.29778334498405457,0.3312617838382721,0.6769726872444153,0.5036112070083618,0.4512821435928345,5.560840129852295,0.6162755489349365,2.0957131385803223,test,FFNN,promoters,4
0,0.3606471121311188,0.8115238547325134,0.2567940652370453,0.5870144367218018,0.8542303442955017,0.5314415097236633,0.3572891652584076,0.6052455902099609,0.953697144985199,0.7432059645652771,0.04630284756422043,0.29752230644226074,0.052387867122888565,0.03685672953724861,0.7591359615325928,0.15161944925785065,0.8335233926773071,0.41298556327819824,0.16647657752037048,0.29806357622146606,0.2174997329711914,0.6052455902099609,0.388254851102829,0.4205378293991089,5.545955181121826,0.779289186000824,1.5332204103469849,train,tuned_FFNN,promoters,5
1,0.36064454913139343,0.8096310496330261,0.24803729355335236,0.578044593334198,0.8540736436843872,0.5198649168014526,0.34712445735931396,0.600812554359436,0.9535878300666809,0.7519627213478088,0.04641217365860939,0.28748124837875366,0.05060819908976555,0.036942481994628906,0.7590228915214539,0.15342643857002258,0.8318520784378052,0.421955406665802,0.16814790666103363,0.3019541800022125,0.21001246571540833,0.600812554359436,0.37865105271339417,0.4098966717720032,5.344217777252197,0.7885614633560181,1.5050885677337646,test,tuned_FFNN,promoters,5
0,0.3479166030883789,0.8251777291297913,0.45193547010421753,0.5940170884132385,0.8649264574050903,0.5723365545272827,0.513326108455658,0.686386227607727,0.9208370447158813,0.5480645298957825,0.07916293293237686,0.414844810962677,0.09219814091920853,0.06301311403512955,0.7329795956611633,0.11180917173624039,0.8676483631134033,0.4059829115867615,0.13235163688659668,0.2950429916381836,0.34528496861457825,0.686386227607727,0.5181287527084351,0.46166545152664185,5.708920955657959,0.5951807498931885,2.1886355876922607,train,FFNN,promoters,5
1,0.35004255175590515,0.8229463696479797,0.44308143854141235,0.587699294090271,0.8634801506996155,0.5617005825042725,0.5052455067634583,0.6817004680633545,0.9203194975852966,0.5569185614585876,0.07968052476644516,0.4059189558029175,0.0904039666056633,0.06342293322086334,0.7325423955917358,0.11363067477941513,0.8657122850418091,0.4123006761074066,0.1342877447605133,0.2977856397628784,0.33801236748695374,0.6817004680633545,0.5102927088737488,0.4534115791320801,5.560717582702637,0.6051360368728638,2.1416945457458496,test,FFNN,promoters,5
0,0.3562884032726288,0.8135887980461121,0.2513342797756195,0.6035650968551636,0.8596312999725342,0.5419009923934937,0.35488760471343994,0.6045124530792236,0.9576906561851501,0.7486657500267029,0.04230932518839836,0.30211126804351807,0.051274027675390244,0.03367791324853897,0.7623147964477539,0.15273328125476837,0.833087146282196,0.39643487334251404,0.16691285371780396,0.2909264862537384,0.21572241187095642,0.6045124530792236,0.3894824683666229,0.4366522431373596,5.940384864807129,0.7817406058311462,1.5285245180130005,train,tuned_FFNN,promoters,6
1,0.3568931519985199,0.813585638999939,0.24165849387645721,0.6087762713432312,0.8591907620429993,0.5449913144111633,0.3459782302379608,0.6009248495101929,0.9601911902427673,0.7583414912223816,0.03980881720781326,0.2981560230255127,0.04930670186877251,0.031686440110206604,0.7642789483070374,0.15472793579101562,0.8316357135772705,0.3912237286567688,0.1683642864227295,0.2886972427368164,0.20917391777038574,0.6009248495101929,0.383556991815567,0.4404119849205017,6.070461273193359,0.7897816896438599,1.5057934522628784,test,tuned_FFNN,promoters,6
0,0.3541422188282013,0.8239887952804565,0.418624609708786,0.5980194807052612,0.8657946586608887,0.5707134008407593,0.49249422550201416,0.6732527017593384,0.9278807640075684,0.5813753604888916,0.07211923599243164,0.39909011125564575,0.0854024812579155,0.057406388223171234,0.7385863065719604,0.11860482394695282,0.8616355061531067,0.40198054909706116,0.1383645087480545,0.29331713914871216,0.3266947567462921,0.6732527017593384,0.5003455281257629,0.4596549868583679,5.804610252380371,0.6265624761581421,2.0604686737060547,train,FFNN,promoters,6
1,0.36014771461486816,0.8204435110092163,0.40210992097854614,0.587665855884552,0.8616031408309937,0.5531397461891174,0.4774945378303528,0.6648937463760376,0.9276775121688843,0.5978900790214539,0.07232249528169632,0.38346561789512634,0.08204434812068939,0.05756619945168495,0.7383991479873657,0.12199028581380844,0.8582150340080261,0.4123341739177704,0.14178496599197388,0.2978000342845917,0.31362417340278625,0.6648937463760376,0.48611342906951904,0.4458808898925781,5.559948921203613,0.6445019841194153,1.9841276407241821,test,FFNN,promoters,6
0,0.5057831406593323,0.7960427403450012,0.00036807559081353247,0.75,0.4983762800693512,0.20326589047908783,0.0007357900612987578,0.5001683235168457,0.9999685287475586,0.999631941318512,3.144505899399519e-05,0.013557882979512215,7.50901090214029e-05,2.5030036340467632e-05,0.7959676384925842,0.20393222570419312,0.7960473895072937,0.25,0.2039526402950287,0.22614145278930664,0.0003680304216686636,0.5001683235168457,0.01661495491862297,0.5460473895072937,11.668248176574707,0.9996632933616638,1.0006734132766724,train,tuned_FFNN,promoters,7
1,0.506087064743042,0.7959153056144714,0.0,0.0,0.49724847078323364,0.200632244348526,0.0,0.499968558549881,0.999937117099762,1.0,6.288912845775485e-05,-0.0035822063218802214,0.0,5.005756611353718e-05,0.7959153056144714,0.20403464138507843,0.7959551215171814,0.9999998807907104,0.20404484868049622,1.0018993616104126,0.0,0.499968558549881,0.0,-0.2040448784828186,0.0,1.0000628232955933,0.9998741745948792,test,tuned_FFNN,promoters,7
0,0.349560022354126,0.8219112753868103,0.3385068476200104,0.6155047416687012,0.8690244555473328,0.5738741755485535,0.4367925226688385,0.642155647277832,0.9458044171333313,0.661493182182312,0.05419555678963661,0.3630131483078003,0.06905786693096161,0.0431392677128315,0.7528534531593323,0.1349494457244873,0.847996175289154,0.38449525833129883,0.15200383961200714,0.28577911853790283,0.2794207036495209,0.642155647277832,0.4564565420150757,0.4635009169578552,6.24601411819458,0.6993973255157471,1.7945107221603394,train,FFNN,promoters,7
1,0.3531465530395508,0.8201431632041931,0.33022570610046387,0.6093254685401917,0.8657680749893188,0.5601521134376526,0.42832139134407043,0.6379761695861816,0.9457266926765442,0.6697742938995361,0.05427331477403641,0.3546062111854553,0.0673774853348732,0.043199680745601654,0.7527656555175781,0.13665714859962463,0.8463529944419861,0.39067450165748596,0.15364700555801392,0.2884605824947357,0.27252480387687683,0.6379761695861816,0.4485698938369751,0.45567846298217773,6.084483623504639,0.7082111835479736,1.7622489929199219,test,FFNN,promoters,7
0,0.39023441076278687,0.7996095418930054,0.04551868140697479,0.6209204792976379,0.8462746739387512,0.5272624492645264,0.08481938391923904,0.5191981792449951,0.992877721786499,0.954481303691864,0.007122305687516928,0.12747938930988312,0.009286143817007542,0.005669303238391876,0.7903233766555786,0.19472116231918335,0.802322506904602,0.3790794909000397,0.19767752289772034,0.28344225883483887,0.04428793117403984,0.5191981792449951,0.1681174635887146,0.42324298620224,6.390913963317871,0.9613280296325684,1.0798588991165161,train,tuned_FFNN,promoters,8
1,0.3921312987804413,0.7988186478614807,0.043915603309869766,0.594684362411499,0.843845009803772,0.5214898586273193,0.08179118484258652,0.5181215405464172,0.9923275113105774,0.9560843706130981,0.007672473322600126,0.11989562213420868,0.008960304781794548,0.006107022985816002,0.789858341217041,0.19507433474063873,0.801941454410553,0.4053156077861786,0.19805854558944702,0.29477226734161377,0.0426393523812294,0.5181215405464172,0.16160421073436737,0.396625816822052,5.72371244430542,0.9634765386581421,1.0752121210098267,test,tuned_FFNN,promoters,8
