,loss,accuracy,recall,precision,AUROC,AUPRC,f1_score,balanced_accuracy,specificity,miss_rate,fall_out,mcc,true_positives_over_total,false_positives_over_total,true_negatives_over_total,false_negatives_over_total,negative_predictive_value,false_discovery_rate,false_omission_rate,prevalence_threshold,threat_score,fowlkes_mallows_index,informedness,markedness,positive_likelyhood_ratio,negative_likelyhood_ratio,DOR,run_type,model_name,task,holdout_number
0,0.46171700954437256,0.8136889338493347,0.5017483830451965,0.547309935092926,0.8101760149002075,0.5089605450630188,0.5235397815704346,0.6976927518844604,0.8936371207237244,0.49825164675712585,0.10636290907859802,0.40861111879348755,0.1023603305220604,0.08466409891843796,0.7113285660743713,0.10164697468280792,0.8749691843986511,0.4526900351047516,0.1250307857990265,0.31526434421539307,0.35459116101264954,0.6976927518844604,0.5240342020988464,0.42227911949157715,4.717320442199707,0.5575547218322754,2.307892322540283,train,perc,promoters,0
1,0.4589698910713196,0.8172398209571838,0.5031893849372864,0.5577916502952576,0.8116047382354736,0.5154460668563843,0.5290855169296265,0.7004657983779907,0.8977422714233398,0.49681058526039124,0.10225772112607956,0.4169260561466217,0.10266806930303574,0.08139359951019287,0.7145717740058899,0.1013665720820427,0.8757668733596802,0.44220831990242004,0.12423312664031982,0.31072428822517395,0.3596983551979065,0.7004657983779907,0.529787540435791,0.43355852365493774,4.920791149139404,0.553399920463562,2.3385169506073,test,perc,promoters,0
0,0.34763532876968384,0.8223117589950562,0.5264707803726196,0.5698160529136658,0.8659566044807434,0.5555570125579834,0.5472865104675293,0.7123022675514221,0.8981337547302246,0.47352921962738037,0.10186626762151718,0.4374939799308777,0.10740388184785843,0.08108480274677277,0.7149078845977783,0.09660342335700989,0.880958616733551,0.43018391728401184,0.11904137581586838,0.3054945766925812,0.3767339885234833,0.7123022675514221,0.5477147698402405,0.4507746696472168,5.168249607086182,0.5272367596626282,2.475869655609131,train,FFNN,promoters,0
1,0.3475646674633026,0.8246983885765076,0.5198724269866943,0.5783296823501587,0.8667564392089844,0.560781717300415,0.5475451946258545,0.7113543748855591,0.9028363227844238,0.48012757301330566,0.09716369956731796,0.44017553329467773,0.10607198625802994,0.07733894139528275,0.7186264395713806,0.09796265512704849,0.880034327507019,0.4216703176498413,0.11996567249298096,0.30183106660842896,0.37697917222976685,0.7113543748855591,0.5483225584030151,0.45836400985717773,5.350474834442139,0.5317990779876709,2.4644553661346436,test,FFNN,promoters,0
0,0.44134214520454407,0.7959926724433899,0.0,0.0,0.7465398907661438,0.3714348077774048,0.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.7959926724433899,0.2040073126554489,0.7959926724433899,0.0,0.2040073126554489,0.0,0.0,0.5,0.0,-0.2040073275566101,0.0,0.9999998807907104,0.9999998807907104,train,CNN,promoters,0
1,0.4421291649341583,0.7959653735160828,0.0,0.0,0.7450023889541626,0.36706894636154175,0.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.7959653735160828,0.20403464138507843,0.7959653735160828,0.0,0.20403464138507843,0.0,0.0,0.5,0.0,-0.20403462648391724,0.0,0.9999998807907104,0.9999998807907104,test,CNN,promoters,0
0,0.3437715470790863,0.8247897624969482,0.5611312389373779,0.5719377398490906,0.870366632938385,0.5577232837677002,0.5664829611778259,0.7267473936080933,0.8923635482788086,0.43886879086494446,0.10763642936944962,0.4567362368106842,0.11447487026453018,0.08567781001329422,0.7103148698806763,0.08953244239091873,0.8880630731582642,0.4280622899532318,0.11193691194057465,0.3045766353607178,0.3951700031757355,0.7267473936080933,0.5665087103843689,0.46000081300735474,5.213204860687256,0.4918048679828644,2.6596169471740723,train,MMNN,promoters,0
1,0.3426198959350586,0.8226960897445679,0.541462242603302,0.5688144564628601,0.8712977170944214,0.5603381395339966,0.5548014044761658,0.7181243896484375,0.8947864770889282,0.4585377871990204,0.10521350800991058,0.4444011151790619,0.11047704517841339,0.08374630659818649,0.7122190594673157,0.09355758875608444,0.8838914036750793,0.4311855733394623,0.11610858887434006,0.3059459924697876,0.38389286398887634,0.7181243896484375,0.554969847202301,0.45270586013793945,5.1463141441345215,0.5124549269676208,2.547663450241089,test,MMNN,promoters,0
0,0.3400324881076813,0.8254905939102173,0.49628856778144836,0.5852564573287964,0.8720792531967163,0.566440224647522,0.5371132493019104,0.703075647354126,0.909862756729126,0.5037114024162292,0.09013725817203522,0.43270739912986755,0.10124649852514267,0.07174859941005707,0.7242441177368164,0.10276081413030624,0.8757433891296387,0.4147435426712036,0.12425659596920013,0.298822283744812,0.3671598434448242,0.703075647354126,0.5389397740364075,0.46099984645843506,5.505914688110352,0.5536124110221863,2.367861032485962,train,BoostedMMNN,promoters,0
1,0.34082934260368347,0.8257996439933777,0.48969578742980957,0.5877503156661987,0.8719589710235596,0.5700215697288513,0.5342612266540527,0.7008255124092102,0.9119552373886108,0.5103042125701904,0.08804477751255035,0.4309123754501343,0.09991490095853806,0.07008059322834015,0.7258847951889038,0.10411974042654037,0.874555230140686,0.41224971413612366,0.12544478476047516,0.2977636754512787,0.36449962854385376,0.7008255124092102,0.5364875197410583,0.46230554580688477,5.561888694763184,0.5595715045928955,2.3425304889678955,test,BoostedMMNN,promoters,0
